DES,AVGO,STK,SMART,,,,,SLD|3/1/2011|3|+NRB|-WRB
DES,RRC,STK,SMART,,,,,SLD|3/1/2011|3|+NRB|-WRB
DES,SOL,STK,SMART,,,,,SLD|3/1/2011|3|+NRB|-WRB
DES,PAY,STK,SMART,,,,,BOT|3/2/2011|2|-NRB|+NRB
DES,GAME,STK,SMART,,,,,BOT|3/2/2011|2|-NRB|+NRB
DES,RDN,STK,SMART,,,,,BOT|3/2/2011|3|-NRB|+NRB
DES,MCOX,STK,SMART,,,,,BOT|3/2/2011|3|-NRB|+NRB
DES,MET,STK,SMART,,,,,SLD|3/2/2011|2|-NRB|+NRB
DES,MAKO,STK,SMART,,,,,SLD|3/2/2011|3|-NRB|+NRB
DES,HCBK,STK,SMART,,,,,SLD|3/2/2011|3|-NRB|+NRB
DES,CRI,STK,SMART,,,,,SLD|3/2/2011|3|-NRB|+NRB
DES,SPLS,STK,SMART,,,,,SLD|3/2/2011|3|-NRB|+NRB
DES,KR,STK,SMART,,,,,BOT|3/3/2011|2|+NRB|+NRB
DES,BIG,STK,SMART,,,,,BOT|3/3/2011|3|+NRB|+NRB
DES,ITMN,STK,SMART,,,,,BOT|3/3/2011|3|+NRB|+NRB
DES,EGLE,STK,SMART,,,,,BOT|3/3/2011|3|+NRB|+NRB
DES,PSS,STK,SMART,,,,,BOT|3/3/2011|3|+NRB|+NRB
DES,HNZ,STK,SMART,,,,,BOT|3/3/2011|3|+NRB|+NRB
DES,AMLN,STK,SMART,,,,,SLD|3/3/2011|2|+NRB|+NRB
DES,ALKS,STK,SMART,,,,,SLD|3/3/2011|2|+NRB|+NRB
DES,DDS,STK,SMART,,,,,SLD|3/3/2011|3|+NRB|+NRB
DES,CNQ,STK,SMART,,,,,SLD|3/3/2011|3|+NRB|+NRB
DES,NGD,STK,SMART,,,,,BOT|3/4/2011|3|-NRB|-NRBBT
DES,SPRD,STK,SMART,,,,,BOT|3/4/2011|3|-NRB|-NRBBT
DES,MRVL,STK,SMART,,,,,SLD|3/4/2011|3|-NRB|-NRBBT
DES,CEDC,STK,SMART,,,,,SLD|3/4/2011|3|-NRB|-NRBBT
DES,TIF,STK,SMART,,,,,BOT|3/21/2011|3|+NRB|+NRB
