DES,QQQ,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/07/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/08/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/09/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/10/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/11/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/14/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/15/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/16/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/17/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/18/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/21/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/22/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/23/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/24/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/25/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/28/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/29/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/30/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/31/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/01/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/04/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/05/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/06/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/07/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/08/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||04/11/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||04/12/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||04/12/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||04/12/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||04/12/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||04/12/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||04/12/2016|
